SalePrice,Neighborhood,LotArea,YrBuilt,HouseStyle,Foundation,RoofMatl,Ext1,Heating,Central Air,TtlBsmtSF,TotRmsAbvGrd,GarageType,Cars,GarageArea,NmbrBRs,YrSold_YYYY,MoSold_MM,SaleDate
140100,Blmngtn,4693,1997,2-Story,Slab,CompShg,VinylSd,GasFWA,Yes,0,5,Attachd,2,419,2,2014,6,2014-06-01
112200,Blmngtn,4693,1997,2-Story,Slab,CompShg,VinylSd,GasFWA,Yes,0,5,Attachd,2,419,2,2014,2,2014-02-01
110300,Blmngtn,4693,1997,2-Story,Slab,CompShg,VinylSd,GasFWA,Yes,0,5,Attachd,1,224,2,2012,7,2012-07-01
110000,Blmngtn,4693,1997,2-Story,Slab,CompShg,VinylSd,GasFWA,Yes,0,5,Attachd,1,224,2,2013,2,2013-02-01
127500,Blmngtn,4693,1997,2-Story,Slab,CompShg,VinylSd,GasFWA,Yes,0,5,Attachd,2,419,2,2013,9,2013-09-01
242000,Gilbert,12054,2003,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,916,8,BuiltIn,3,604,4,2012,8,2012-08-01
287000,Gilbert,11792,2003,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1008,9,BuiltIn,3,632,4,2014,1,2014-01-01
279000,Gilbert,13006,1997,2-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,964,8,BuiltIn,3,642,4,2013,7,2013-07-01
173000,Gilbert,7959,1997,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,794,8,Attachd,2,388,3,2012,8,2012-08-01
208000,Gilbert,9535,1998,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,926,7,Attachd,2,472,3,2012,4,2012-04-01
167900,Gilbert,8589,1997,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,945,7,Attachd,2,472,3,2012,7,2012-07-01
192000,Gilbert,15038,1996,2-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,916,7,Attachd,2,386,3,2013,5,2013-05-01
215000,Gilbert,8400,1996,S/Level,P'Conc,CompShg,HdBoard,GasFWA,Yes,384,7,BuiltIn,2,390,3,2014,4,2014-04-01
205000,Gilbert,21872,1996,2-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,729,6,Attachd,2,406,3,2013,5,2013-05-01
300000,Gilbert,14859,2006,1-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1651,6,Attachd,3,690,3,2013,6,2013-06-01
240000,Gilbert,13128,2005,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1074,7,Attachd,2,527,4,2014,7,2014-07-01
230000,Gilbert,10463,2005,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,893,8,Attachd,3,800,3,2013,9,2013-09-01
222000,Gilbert,10463,2005,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,893,8,Attachd,3,800,3,2013,4,2013-04-01
199000,Gilbert,11227,1995,2-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,1114,7,Attachd,2,431,3,2013,6,2013-06-01
189950,Gilbert,8773,1997,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,916,7,Attachd,2,460,3,2012,9,2012-09-01
230000,Stonebr,5330,2000,1-Story,P'Conc,CompShg,CemntBd,GasFWA,Yes,1327,6,Attachd,2,499,1,2013,10,2013-10-01
350000,Stonebr,5638,2004,1-Story,P'Conc,CompShg,CemntBd,GasFWA,Yes,1910,6,Attachd,2,594,2,2013,7,2013-07-01
293000,Stonebr,9304,2000,1-Story,P'Conc,CompShg,CemntBd,GasFWA,Yes,1670,5,Attachd,2,709,2,2012,11,2012-11-01
232500,Stonebr,4920,2001,1-Story,P'Conc,CompShg,CemntBd,GasFWA,Yes,1338,6,Attachd,2,582,2,2013,6,2013-06-01
244000,Stonebr,4920,2001,1-Story,P'Conc,CompShg,CemntBd,GasFWA,Yes,1598,6,Attachd,2,581,2,2013,5,2013-05-01
268000,Stonebr,4920,2003,1-Story,P'Conc,CompShg,CemntBd,GasFWA,Yes,1626,5,Attachd,2,598,2,2013,8,2013-08-01
246000,Stonebr,5306,1997,1-Story,P'Conc,CompShg,CemntBd,GasFWA,Yes,1535,6,Attachd,2,529,2,2012,3,2012-03-01
187500,Stonebr,5794,1992,1-Story,P'Conc,CompShg,CemntBd,GasFWA,Yes,1516,5,Attachd,2,528,2,2012,6,2012-06-01
234000,Stonebr,4738,1991,1-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,1369,5,Attachd,2,430,2,2013,11,2013-11-01
207000,Stonebr,5389,1993,1-Story,P'Conc,CompShg,CemntBd,GasFWA,Yes,1557,5,Attachd,2,533,2,2013,4,2013-04-01
210100,Gilbert,10176,1990,1-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,1291,6,Attachd,2,484,3,2013,7,2013-07-01
180000,Gilbert,13861,1993,2-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,789,7,Attachd,2,390,3,2013,4,2013-04-01
202000,Gilbert,9019,1998,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,916,7,Attachd,2,420,3,2012,12,2012-12-01
185550,Gilbert,9204,1998,S/Level,P'Conc,CompShg,VinylSd,GasFWA,Yes,384,7,BuiltIn,2,397,3,2013,5,2013-05-01
185500,Gilbert,10066,1998,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1017,7,Attachd,2,419,3,2013,3,2013-03-01
211000,Gilbert,7666,1995,1.5 Fin,P'Conc,CompShg,HdBoard,GasFWA,Yes,908,7,Attachd,2,396,3,2014,4,2014-04-01
209000,Gilbert,7875,1996,2-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,691,6,Attachd,2,420,3,2014,7,2014-07-01
185000,Gilbert,7875,1995,1-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,1237,6,Attachd,2,402,3,2013,7,2013-07-01
169500,Gilbert,10000,1993,2-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,763,7,Attachd,2,440,3,2012,8,2012-08-01
182500,Gilbert,7685,1993,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,697,6,Attachd,2,420,3,2012,9,2012-09-01
185000,Gilbert,9765,1993,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,680,6,BuiltIn,2,420,3,2012,4,2012-04-01
206000,Gilbert,8000,1995,2-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,773,8,Attachd,2,431,3,2013,3,2013-03-01
184500,Gilbert,10002,1995,2-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,832,7,Attachd,2,412,3,2012,4,2012-04-01
175000,Gilbert,7250,1993,1-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,1181,6,Attachd,2,430,3,2013,8,2013-08-01
186500,Gilbert,8717,1994,2-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,908,7,BuiltIn,2,390,3,2012,8,2012-08-01
218900,Gilbert,10832,1994,2-Story,P'Conc,CompShg,MetalSd,GasFWA,Yes,712,7,Attachd,2,409,3,2014,5,2014-05-01
215500,Gilbert,8953,1992,2-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,836,7,Attachd,2,431,3,2013,11,2013-11-01
150000,Gilbert,8312,1993,S/Level,P'Conc,CompShg,HdBoard,GasFWA,Yes,384,6,BuiltIn,2,400,3,2012,12,2012-12-01
180000,Gilbert,8773,1992,2-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,805,7,Attachd,2,558,3,2013,6,2013-06-01
135100,Gilbert,7655,1993,2-Story,P'Conc,CompShg,CemntBd,GasFWA,Yes,903,7,Attachd,2,392,3,2012,5,2012-05-01
140500,Stonebr,3638,1985,1-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,909,5,Attachd,1,276,2,2012,12,2012-12-01
200000,Stonebr,5814,1987,2-Story,C'Block,CompShg,CemntBd,GasFWA,Yes,1199,6,Attachd,2,552,1,2013,5,2013-05-01
245000,Stonebr,5062,1984,2-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,1190,6,Attachd,2,577,3,2014,5,2014-05-01
242500,Stonebr,4600,1984,1-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,1275,4,Attachd,3,759,1,2012,6,2012-06-01
228000,Stonebr,6820,1985,1-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,1488,4,Attachd,2,528,1,2014,6,2014-06-01
189500,Stonebr,4635,1988,1-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,1565,5,Attachd,2,495,2,2012,5,2012-05-01
245000,Stonebr,7663,1986,1-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,1368,5,Attachd,2,551,2,2013,6,2013-06-01
168000,Stonebr,5349,1987,1-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,1172,4,Attachd,2,480,2,2014,6,2014-06-01
214000,Stonebr,5081,1987,1.5 Fin,C'Block,CompShg,HdBoard,GasFWA,Yes,1098,5,Attachd,2,485,2,2014,4,2014-04-01
223500,Stonebr,5081,1985,1-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,1559,5,Attachd,2,528,2,2013,10,2013-10-01
212000,Stonebr,5081,1987,1-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,1520,5,Attachd,2,538,2,2013,8,2013-08-01
207500,Stonebr,5081,1987,1-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,1431,5,Attachd,2,473,2,2014,4,2014-04-01
206000,Stonebr,5220,1988,1-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,1513,5,Attachd,2,495,2,2013,10,2013-10-01
235000,Stonebr,5250,1988,1-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,1356,6,Attachd,2,462,2,2014,5,2014-05-01
248500,Stonebr,6525,1987,1-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,1596,6,Attachd,2,563,2,2012,11,2012-11-01
350000,Gilbert,8384,1990,2-Story,P'Conc,CompShg,Wd Sdng,GasFWA,Yes,1852,8,Attachd,2,442,3,2012,6,2012-06-01
325000,Gilbert,8000,1990,1-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,2238,5,Attachd,3,728,2,2013,12,2013-12-01
184000,Gilbert,8539,1989,1-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,1412,5,Attachd,2,576,1,2012,4,2012-04-01
220000,Gilbert,15047,1984,1-Story,P'Conc,CompShg,Wd Sdng,GasFWA,Yes,1462,5,Attachd,2,621,2,2013,8,2013-08-01
429000,Stonebr,11263,2005,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1492,10,BuiltIn,3,686,4,2013,8,2013-08-01
328000,Stonebr,15987,2005,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1245,10,BuiltIn,3,674,4,2012,2,2012-02-01
175300,NW Ames,12335,1984,1-Story,P'Conc,CompShg,MetalSd,GasFWA,Yes,1211,6,Attachd,2,684,3,2013,4,2013-04-01
226000,NW Ames,23679,1985,1-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,1558,6,Attachd,2,498,3,2012,6,2012-06-01
185500,NW Ames,13226,1980,1-Story,P'Conc,CompShg,Plywood,GasFWA,Yes,1447,6,Attachd,2,486,3,2013,6,2013-06-01
282000,NW Ames,13005,1980,2-Story,C'Block,CompShg,CemntBd,GasFWA,Yes,845,10,Attachd,2,484,4,2013,7,2013-07-01
176000,NW Ames,12090,1981,2-Story,C'Block,CompShg,MetalSd,GasFWA,Yes,725,6,Attachd,2,484,3,2012,3,2012-03-01
85000,Gilbert,39847,1950,1-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,816,4,2 Types,3,1137,2,2013,6,2013-06-01
349000,Stonebr,15891,2010,1-Story,P'Conc,CompShg,MetalSd,GasFWA,Yes,1606,8,Attachd,2,613,2,2014,6,2014-06-01
335000,Stonebr,10146,2004,1-Story,P'Conc,CompShg,MetalSd,GasFWA,Yes,1706,6,Attachd,2,539,2,2013,7,2013-07-01
332000,Stonebr,8035,2006,1-Story,P'Conc,CompShg,MetalSd,GasFWA,Yes,1612,6,Attachd,2,556,2,2013,6,2013-06-01
100000,Stonebr,14028,2013,1-Story,P'Conc,CompShg,WdShing,GasFWA,Yes,1800,6,Attachd,2,874,1,2013,10,2013-10-01
342500,Stonebr,12427,2005,1-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1675,7,Attachd,3,956,2,2012,8,2012-08-01
441500,Stonebr,13303,2004,1-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,2304,10,Attachd,3,713,3,2012,9,2012-09-01
120000,Stonebr,16377,1900,1.5 Fin,C'Block,CompShg,Wd Sdng,GasFWA,Yes,620,5,Detachd,2,576,2,2014,6,2014-06-01
170000,Gilbert,12060,1980,1-Story,C'Block,CompShg,Plywood,OtherHt,Yes,1606,6,Attachd,2,764,3,2013,6,2013-06-01
701000,Gilbert,91177,2008,1-Story,P'Conc,CompShg,CemntBd,GasFWA,Yes,2447,6,Attachd,3,2442,1,2014,7,2014-07-01
183000,Gilbert,30964,1956,1-Story,C'Block,CompShg,VinylSd,GasFWA,Yes,1161,6,Detachd,2,992,3,2014,5,2014-05-01
215000,NW Ames,14145,1984,1-Story,C'Block,CompShg,Wd Sdng,GasFWA,Yes,1208,8,Attachd,2,440,3,2014,7,2014-07-01
249900,NW Ames,12400,1984,2-Story,P'Conc,CompShg,Plywood,GasFWA,Yes,788,7,Attachd,2,540,3,2014,5,2014-05-01
269950,NW Ames,12545,1987,1-Story,P'Conc,CompShg,Wd Sdng,GasFWA,Yes,1852,8,Attachd,2,701,3,2014,8,2014-08-01
193000,NW Ames,12457,1978,2-Story,C'Block,CompShg,WdShing,GasFWA,Yes,1102,7,Attachd,2,484,3,2012,8,2012-08-01
179000,NW Ames,12740,1976,1-Story,C'Block,CompShg,Plywood,GasFWA,Yes,1576,8,Attachd,2,484,3,2012,1,2012-01-01
317500,NW Ames,17037,1980,1.5 Fin,C'Block,CompShg,Wd Sdng,GasFWA,Yes,1686,9,Attachd,3,779,4,2013,7,2013-07-01
257400,NW Ames,14596,1977,1-Story,C'Block,CompShg,Plywood,GasFWA,Yes,1612,8,Attachd,2,567,3,2014,6,2014-06-01
216400,NW Ames,11122,1977,2-Story,C'Block,CompShg,WdShing,GasFWA,Yes,969,9,Attachd,2,576,4,2012,5,2012-05-01
240000,NW Ames,20088,1977,2-Story,C'Block,CompShg,WdShing,GasFWA,Yes,848,9,Attachd,2,470,4,2013,6,2013-06-01
185000,NW Ames,11900,1977,1-Story,C'Block,CompShg,VinylSd,GasFWA,Yes,1370,7,Attachd,2,484,3,2013,7,2013-07-01
193750,NW Ames,10778,1976,S/Foyer,C'Block,CompShg,Plywood,GasFWA,Yes,1198,6,Attachd,2,528,3,2012,6,2012-06-01
170000,NW Ames,12929,1980,2-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,723,7,Attachd,2,644,3,2012,2,2012-02-01
191000,NW Ames,10800,1980,2-Story,C'Block,CompShg,Plywood,GasFWA,Yes,795,7,Attachd,2,547,3,2012,8,2012-08-01
204900,NW Ames,10928,1978,1-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1427,7,Attachd,2,484,3,2012,4,2012-04-01
202500,NW Ames,9392,1978,2-Story,C'Block,CompShg,MetalSd,GasFWA,Yes,765,7,Attachd,2,588,3,2013,10,2013-10-01
244900,NW Ames,10542,1980,2-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,988,9,Attachd,2,672,4,2013,4,2013-04-01
235000,NW Ames,10542,1980,2-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,988,9,Attachd,2,672,4,2012,3,2012-03-01
225000,NW Ames,11584,1979,S/Level,C'Block,CompShg,HdBoard,GasFWA,Yes,539,6,Attachd,2,550,3,2013,10,2013-10-01
250000,NW Ames,10400,1979,1-Story,C'Block,CompShg,MetalSd,GasFWA,Yes,1259,5,Attachd,2,478,2,2014,7,2014-07-01
165000,NW Ames,11376,1978,1-Story,P'Conc,CompShg,Plywood,GasFWA,Yes,1548,8,Attachd,2,485,4,2013,5,2013-05-01
287000,NW Ames,10774,1984,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1223,7,Attachd,2,667,3,2014,3,2014-03-01
245000,NW Ames,8529,1980,2-Story,P'Conc,WdShngl,Wd Sdng,GasFWA,Yes,1190,7,Attachd,2,669,3,2013,1,2013-01-01
207000,NW Ames,10400,1979,2-Story,C'Block,CompShg,Plywood,GasFWA,Yes,795,7,Attachd,2,540,3,2014,6,2014-06-01
160425,NW Ames,10213,1979,2-Story,C'Block,CompShg,VinylSd,GasFWA,Yes,738,6,Attachd,2,486,3,2012,3,2012-03-01
185000,NW Ames,16692,1978,2-Story,C'Block,CompShg,Plywood,GasFWA,Yes,1392,12,Attachd,2,564,5,2013,11,2013-11-01
220588,NW Ames,16692,1978,2-Story,C'Block,CompShg,Plywood,GasFWA,Yes,1392,12,Attachd,2,564,5,2013,7,2013-07-01
200000,NW Ames,13001,1971,1-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,1874,6,Attachd,2,944,2,2014,7,2014-07-01
163000,NW Ames,12243,1971,1-Story,C'Block,CompShg,Plywood,GasFWA,Yes,1484,7,Attachd,2,487,3,2013,10,2013-10-01
187000,NW Ames,12243,1971,1-Story,C'Block,CompShg,Plywood,GasFWA,Yes,1484,7,Attachd,2,487,3,2013,5,2013-05-01
204100,NW Ames,8991,1976,S/Level,C'Block,CompShg,Plywood,GasFWA,Yes,1228,5,Attachd,2,585,3,2014,8,2014-08-01
218000,NW Ames,10304,1976,2-Story,C'Block,CompShg,Plywood,GasFWA,Yes,780,9,Attachd,2,484,4,2014,9,2014-09-01
310000,N Ames,12000,2006,1-Story,P'Conc,CompShg,CemntBd,GasFWA,Yes,1872,7,Attachd,2,640,2,2014,5,2014-05-01
85000,N Ames,12000,1972,1-Story,C'Block,CompShg,Plywood,GasFWA,Yes,788,4,Attachd,2,510,2,2012,3,2012-03-01
120000,N Ames,12000,1975,1-Story,C'Block,CompShg,Plywood,GasFWA,Yes,864,5,None,0,0,2,2014,6,2014-06-01
210900,Somerst,8000,2003,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,872,7,Attachd,2,540,3,2012,3,2012-03-01
340000,Somerst,8000,2002,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,974,8,BuiltIn,2,524,3,2013,7,2013-07-01
305000,Somerst,9512,2005,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,960,8,BuiltIn,2,541,3,2014,7,2014-07-01
263000,Somerst,7842,2006,1-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1552,7,Attachd,2,596,3,2012,7,2012-07-01
207000,Somerst,8533,2002,1-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1475,6,Attachd,2,596,3,2013,7,2013-07-01
175500,NW Ames,10140,1975,S/Foyer,C'Block,CompShg,HdBoard,GasFWA,Yes,960,4,Attachd,2,480,2,2014,3,2014-03-01
165000,NW Ames,11050,1975,1-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,1112,6,Attachd,2,528,3,2014,1,2014-01-01
199000,NW Ames,10140,1975,S/Level,C'Block,CompShg,HdBoard,GasFWA,Yes,480,8,Attachd,2,504,4,2012,7,2012-07-01
171000,NW Ames,10140,1976,2-Story,P'Conc,CompShg,HdBoard,GasFWA,Yes,832,8,Attachd,2,528,4,2012,10,2012-10-01
169900,NW Ames,10140,1974,1-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,1064,5,Attachd,1,336,3,2013,7,2013-07-01
228400,NW Ames,9182,1974,2-Story,C'Block,CompShg,Plywood,GasFWA,Yes,780,10,Attachd,2,476,4,2012,1,2012-01-01
189500,NW Ames,10000,1973,1-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,1176,5,Attachd,2,439,3,2014,6,2014-06-01
151500,NW Ames,10448,1973,S/Level,C'Block,CompShg,MetalSd,GasFWA,Yes,893,5,Attachd,2,440,2,2012,10,2012-10-01
206000,NW Ames,10448,1972,S/Level,C'Block,CompShg,HdBoard,GasFWA,Yes,689,7,Attachd,2,583,3,2013,12,2013-12-01
346800,NW Ames,10084,1994,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1592,8,Attachd,3,701,4,2013,3,2013-03-01
359900,NW Ames,11517,1994,2-Story,P'Conc,CompShg,VinylSd,GasFWA,Yes,1129,8,Attachd,3,712,3,2013,7,2013-07-01
130700,N Ames,9000,1974,2-Story,C'Block,CompShg,VinylSd,GasFWA,Yes,896,8,None,0,0,4,2014,6,2014-06-01
160000,N Ames,10500,1969,S/Level,C'Block,CompShg,HdBoard,GasFWA,Yes,1042,5,Attachd,1,264,3,2013,5,2013-05-01
156500,N Ames,9750,1969,1-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,1054,6,Attachd,2,460,3,2013,8,2013-08-01
98087,N Ames,15870,1969,1-Story,C'Block,CompShg,VinylSd,GasFWA,Yes,1096,6,Attachd,1,299,3,2012,12,2012-12-01
155000,N Ames,8750,1970,1-Story,C'Block,CompShg,MetalSd,GasFWA,Yes,1002,5,Detachd,2,902,3,2013,11,2013-11-01
123000,N Ames,10380,1970,1-Story,C'Block,CompShg,VinylSd,GasFWA,Yes,1078,6,Attachd,1,299,3,2012,11,2012-11-01
81000,N Ames,7432,1971,1-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,858,5,Detachd,2,528,3,2013,2,2013-02-01
140000,N Ames,12541,1971,1-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,864,5,Detachd,2,576,2,2013,7,2013-07-01
146000,N Ames,14764,1971,1-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,864,6,Attachd,2,480,3,2012,7,2012-07-01
128250,N Ames,9324,1971,1-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,858,5,Attachd,1,545,3,2014,4,2014-04-01
111500,N Ames,9324,1971,1-Story,C'Block,CompShg,HdBoard,GasFWA,Yes,858,5,Attachd,1,545,3,2012,1,2012-01-01
