Name, Sex,Birthplace, CityofBirth, State, Age, DOB,Ethnicity, SexualOrientation, Religion, AwardCategory, Movie, Year, NumberofAwards, Country
Frank Borzage,Male,"Salt Lake City, Utah, United States","Salt Lake City, UT",Utah,39,4/23/1894,White,Straight,Roman Catholic,Director,Bad Girl,1933,2,United States
Charles Laughton,Male,"Scarborough, United Kingdom",NA,NA,35,7/1/1899,White,Gay,Roman Catholic,Actor,The Private Life of Henry VIII,1934,1,United Kingdom
Frank Lloyd,Male,"Glasgow, United Kingdom",NA,NA,48,2/2/1886,White,Straight,NA,Director,Cavalcade,1934,2,United Kingdom
Katharine Hepburn,Female,"Hartford, Connecticut, United States","Hartford, CT",Connecticut,27,5/12/2007,White,Bisexual,Atheist,Actor,Morning Glory,1934,4,United States
Clark Gable,Male,"Cadiz, Ohio, United States","Cadiz, OH",Ohio,34,2/1/1901,White,Straight,NA,Actor,It Happened One Night,1935,1,United States
Claudette Colbert,Female,"Paris, France",NA,NA,32,9/13/1903,White,Straight,NA,Actor,It Happened One Night,1935,1,France
Frank Capra,Male,"Bisacquino, Italy",NA,NA,38,5/18/1897,White,Straight,Roman Catholic,Director,It Happened One Night,1935,3,Italy
Bette Davis,Female,"Lowell, Massachusetts, United States","Lowell, MA",Massachusetts,28,4/5/2008,White,Straight,NA,Actor,Dangerous,1936,2,United States
John Ford,Male,"Cape Elizabeth, Maine, United States","Cape Elizabeth, ME",Maine,42,2/1/1894,White,Bisexual,Roman Catholic,Director,The Informer,1936,4,United States
Victor McLaglen,Male,"Tunbridge Wells, United Kingdom",NA,NA,53,12/11/1883,White,Straight,Anglican/episcopalian,Actor,The Informer,1936,1,United Kingdom
Frank Capra,Male,"Bisacquino, Italy",NA,NA,40,5/18/1897,White,Straight,Roman Catholic,Director,Mr. Deeds Goes to Town,1937,3,Italy
Gale Sondergaard,Female,"Litchfield, Minnesota, United States","Litchfield, MN",Minnesota,38,2/15/1899,White,Straight,NA,Actor,Anthony Adverse,1937,1,United States
Luise Rainer,Female,"Dusseldorf, Germany",NA,NA,27,1/12/2010,White,Straight,Jewish,Actor,The Great Ziegfeld,1937,2,Germany
Paul Muni,Male,"Lviv, Ukraine",NA,NA,42,9/22/1895,White,Straight,Jewish,Actor,The Story of Louis Pasteur,1937,1,Ukraine
Walter Brennan,Male,"Swampscott, Massachusetts, United States","Swampscott, MA",Massachusetts,44,7/25/1894,White,Straight,NA,Actor,Come and Get It,1937,3,United States
Alice Brady,Female,"New York City, United States","New York City, NY",New York,46,11/2/1892,White,Straight,NA,Actor,In Old Chicago,1938,1,United States
Joseph Schildkraut,Male,"Vienna, Austria",NA,NA,42,3/22/1896,White,Straight,NA,Actor,The Life of Emile Zola,1938,1,Austria
Leo McCarey,Male,"Los Angeles, California, United States","Los Angeles, CA",California,40,10/3/1898,White,Straight,NA,Director,The Awful Truth,1938,2,United States
Luise Rainer,Female,"Dusseldorf, Germany",NA,NA,28,1/12/2010,White,Straight,Jewish,Actor,The Good Earth,1938,2,Germany
Spencer Tracy,Male,"Milwaukee, Wisconsin, United States","Milwaukee, WI",Wisconsin,38,4/5/1900,White,Straight,Roman Catholic,Actor,Captains Courageous,1938,2,United States
Bette Davis,Female,"Lowell, Massachusetts, United States","Lowell, MA",Massachusetts,31,4/5/2008,White,Straight,NA,Actor,Jezebel,1939,2,United States
Fay Bainter,Female,"Los Angeles, California, United States","Los Angeles, CA",California,48,12/7/1891,White,Straight,NA,Actor,Jezebel,1939,1,United States
Frank Capra,Male,"Bisacquino, Italy",NA,NA,42,5/18/1897,White,Straight,Roman Catholic,Director,You Can't Take It with You,1939,3,Italy
Spencer Tracy,Male,"Milwaukee, Wisconsin, United States","Milwaukee, WI",Wisconsin,39,4/5/1900,White,Straight,Roman Catholic,Actor,Boys Town,1939,2,United States
Walter Brennan,Male,"Swampscott, Massachusetts, United States","Swampscott, MA",Massachusetts,45,7/25/1894,White,Straight,NA,Actor,Kentucky,1939,3,United States
Hattie McDaniel,Female,"Wichita, Kansas, United States","Wichita, KS",Kansas,47,6/10/1893,Black,Matter of Dispute,Christian,Actor,Gone with the Wind,1940,1,United States
Robert Donat,Male,"Withington, United Kingdom",NA,NA,35,3/18/2005,White,Straight,NA,Actor,Goodbye Mr. Chips,1940,1,United Kingdom
Thomas Mitchell,Male,"Elizabeth, New Jersey, United States","Elizabeth, NJ",New Jersey,48,7/11/1892,White,Straight,NA,Actor,Stagecoach,1940,1,United States
Victor Fleming,Male,"Pasadena, California, United States","Pasadena, CA",California,57,2/23/1883,White,Straight,NA,Director,Gone with the Wind,1940,1,United States
Vivien Leigh,Female,"Darjeeling, India",NA,NA,27,11/5/2013,White,Straight,Roman Catholic,Actor,Gone with the Wind,1940,2,India
Ginger Rogers,Female,"Independence, Missouri, United States","Independence, MO",Missouri,30,7/16/2011,White,Straight,Christian Science,Actor,Kitty Foyle,1941,1,United States
Jane Darwell,Female,"Palmyra, Missouri, United States","Palmyra, MO",Missouri,62,10/15/1879,White,Straight,NA,Actor,The Grapes of Wrath,1941,1,United States
Jimmy Stewart,Male,"Indiana, Pennsylvania, United States","Indiana, PA",Pennsylvania,33,5/20/2008,White,Straight,Presbyterian,Actor,The Philadelphia Story,1941,1,United States
John Ford,Male,"Cape Elizabeth, Maine, United States","Cape Elizabeth, ME",Maine,47,2/1/1894,White,Bisexual,Roman Catholic,Director,The Grapes of Wrath,1941,4,United States
Walter Brennan,Male,"Swampscott, Massachusetts, United States","Swampscott, MA",Massachusetts,47,7/25/1894,White,Straight,NA,Actor,The Westerner,1941,3,United States
Donald Crisp,Male,"London, United Kingdom",NA,NA,62,7/27/1880,White,Straight,NA,Actor,How Green Was My Valley,1942,1,United Kingdom
Gary Cooper,Male,"Helena, Montana, United States","Helena, MT",Montana,52,5/7/1901,White,Straight,Roman Catholic,Actor,Sergeant York,1942,2,United States
Joan Fontaine,Female,"Tokyo, Japan",NA,NA,23,10/22/2017,White,Straight,NA,Actor,Suspicion,1942,1,Japan
John Ford,Male,"Cape Elizabeth, Maine, United States","Cape Elizabeth, ME",Maine,48,2/1/1894,White,Bisexual,Roman Catholic,Director,How Green Was My Valley,1942,4,United States
Mary Astor,Female,"Quincy, Illinois, United States","Quincy, IL",Illinois,36,5/3/2006,White,Straight,Roman Catholic,Actor,The Great Lie,1942,1,United States
Greer Garson,Female,"London, United Kingdom",NA,NA,39,9/29/2004,White,Straight,NA,Actor,Mrs. Miniver,1943,1,United Kingdom
James Cagney,Male,"Manhattan, New York, United States","New York City, NY",New York,44,7/17/1899,White,Straight,Roman Catholic,Actor,Yankee Doodle Dandy,1943,1,United States
Teresa Wright,Female,"New York City, United States","New York City, NY",New York,25,10/27/2018,White,Straight,NA,Actor,Mrs. Miniver,1943,1,United States
Van Heflin,Male,"Walters, Oklahoma, United States","Walters, OK",Oklahoma,33,12/13/2010,White,Straight,NA,Actor,Johnny Eager,1943,1,United States
William Wyler,Male,"Mulhouse, France",NA,NA,41,7/1/1902,White,Straight,NA,Director,Mrs. Miniver,1943,3,France
Charles Coburn,Male,"Savannah, Georgia, United States","Savannah, GA",Georgia,67,6/17/1877,White,Straight,NA,Actor,The More the Merrier,1944,1,United States
Jennifer Jones,Female,"Tulsa, Oklahoma, United States","Tulsa, OK",Oklahoma,25,3/2/2019,White,Straight,Roman Catholic,Actor,The Song of Bernadette,1944,1,United States
Katina Paxinou,Female,"Athens, Greece",NA,NA,44,12/17/1900,White,Straight,NA,Actor,For Whom the Bell Tolls,1944,1,Greece
Michael Curtiz,Male,"Budapest, Hungary",NA,NA,58,12/24/1886,White,Straight,NA,Director,Casablanca,1944,1,Hungary
Paul Lukas,Male,"Budapest, Hungary",NA,NA,57,5/26/1887,White,Straight,NA,Actor,Watch on the Rhine,1944,1,Hungary
Barry Fitzgerald,Male,"Dublin, Ireland",NA,NA,57,3/10/1888,White,NA,Protestant,Actor,Going My Way,1945,1,Ireland
Bing Crosby,Male,"Tacoma, Washington, United States","Tacoma, WA",Washington,42,5/3/1903,White,Straight,Roman Catholic,Actor,Going My Way,1945,1,United States
Ethel Barrymore,Female,"Philadelphia, Pennsylvania, United States","Philadelphia, PA",Pennsylvania,66,8/15/1879,White,Straight,Roman Catholic,Actor,None but the Lonely Heart,1945,1,United States
Ingrid Bergman,Female,"Stockholm, Sweden",NA,NA,30,8/29/2015,White,Straight,NA,Actor,Gaslight,1945,3,Sweden
Leo McCarey,Male,"Los Angeles, California, United States","Los Angeles, CA",California,47,10/3/1898,White,Straight,NA,Director,Going My Way,1945,2,United States
Anne Revere,Female,"New York City, United States","New York City, NY",New York,43,6/25/1903,White,Straight,NA,Actor,National Velvet,1946,1,United States
Billy Wilder,Male,"Sucha, Austria",NA,NA,55,6/22/2006,White,Straight,Jewish,Director,The Lost Weekend,1946,2,Austria
James Dunn,Male,"New York City, United States","New York City, NY",New York,45,11/2/1901,White,Straight,NA,Actor,A Tree Grows in Brooklyn,1946,1,United States
Joan Crawford,Female,"San Antonio, Texas, United States","San Antonio, TX",Texas ,41,3/23/2005,White,Bisexual,Christian Science,Actor,Mildred Pierce,1946,1,United States
Ray Milland,Male,"Neath, United Kingdom",NA,NA,39,1/3/2007,White,Straight,NA,Actor,The Lost Weekend,1946,1,United Kingdom
Anne Baxter,Female,"Michigan City, Indiana, United States","Michigan City, IN",Indiana,24,5/7/2023,White,Straight,NA,Actor,The Razor's Edge,1947,1,United States
Fredric March,Male,"Racine, Wisconsin, United States","Racine, WI",Wisconsin,50,8/31/1897,White,Straight,NA,Actor,The Best Years of Our Lives,1947,1,United States
Harold Russell,Male,"North Sydney, United Kingdom",NA,NA,33,1/14/2014,White,Straight,NA,Actor,The Best Years of Our Lives,1947,1,United Kingdom
Olivia de Havilland,Female,"Tokyo, Japan",NA,NA,31,7/1/2016,White,Straight,NA,Actor,To Each His Own,1947,2,Japan
William Wyler,Male,"Mulhouse, France",NA,NA,45,7/1/1902,White,Straight,NA,Director,The Best Years of Our Lives,1947,3,France
Celeste Holm,Female,"New York City, United States","New York City, NY",New York,31,4/29/2017,White,Straight,NA,Actor,Gentleman's Agreement,1948,1,United States
Edmund Gwenn,Male,"Vale of Glamorgan, United Kingdom",NA,NA,73,9/26/1875,White,NA,NA,Actor,Miracle on 34th Street,1948,1,United Kingdom
Elia Kazan,Male,"Istanbul, Turkey",NA,NA,39,9/7/2009,White,Straight,NA,Director,Gentleman's Agreement,1948,2,Turkey
Loretta Young,Female,"Salt Lake City, Utah, United States","Salt Lake City, UT",Utah,35,1/6/2013,White,Straight,Roman Catholic,Actor,The Farmer's Daughter,1948,1,United States
Ronald Colman,Male,"Richmond, United Kingdom","Richmond, VA",Virginia,57,2/9/1891,White,Straight,NA,Actor,A Double Life,1948,1,United Kingdom
Claire Trevor,Female,"New York City, United States","New York City, NY",New York,39,3/8/2010,White,Straight,NA,Actor,Key Largo,1949,1,United States
Jane Wyman,Female,"St. Joseph, Missouri, United States","St. Joseph, MO",Missouri,32,1/5/2017,White,Straight,Roman Catholic,Actor,Johnny Belinda,1949,1,United States
John Huston,Male,"Nevada, Missouri, United States","Nevada, MO",Missouri,43,8/5/2006,White,Straight,NA,Director,The Treasure of the Sierra Madre,1949,1,United States
Laurence Olivier,Male,"Dorking, United Kingdom",NA,NA,42,5/22/2007,White,Bisexual,NA,Actor,Hamlet,1949,1,United Kingdom
Walter Huston,Male,"Toronto, Canada",NA,NA,65,4/6/1884,White,Straight,NA,Actor,The Treasure of the Sierra Madre,1949,1,Canada
Broderick Crawford,Male,"Philadelphia, Pennsylvania, United States","Philadelphia, PA",Pennsylvania,39,12/9/2011,White,Straight,NA,Actor,All The King's Men,1950,1,United States
Dean Jagger,Male,"Lima, Ohio, United States","Lima, OH",Ohio,47,11/7/1903,White,Straight,NA,Actor,Twelve O'Clock High,1950,1,United States
Joseph L. Mankiewicz,Male,"Wilkes-Barre, Pennsylvania, United States","Wilkes-Barre, PA",Pennsylvania,41,2/11/2009,White,Straight,Jewish,Director,A Letter to Three Wives,1950,2,United States
Mercedes McCambridge,Female,"Joliet, Illinois, United States","Joliet, IL",Illinois,34,3/17/2016,White,Straight,Roman Catholic,Actor,All The King's Men,1950,1,United States
Olivia de Havilland,Female,"Tokyo, Japan",NA,NA,34,7/1/2016,White,Straight,NA,Actor,The Heiress,1950,2,Japan
George Sanders,Male,"St. Petersburg, Russia",NA,NA,45,7/3/2006,White,Straight,NA,Actor,All About Eve,1951,1,Russia
Jose Ferrer,Male,"Santurce, Puerto Rico",NA,NA,42,1/8/2009,Hispanic,Straight,NA,Actor,Cyrano de Bergerac,1951,1,Puerto Rico
Joseph L. Mankiewicz,Male,"Wilkes-Barre, Pennsylvania, United States","Wilkes-Barre, PA",Pennsylvania,42,2/11/2009,White,Straight,Jewish,Director,All About Eve,1951,2,United States
Josephine Hull,Female,"Newtonville, Massachusetts, United States","Newtonville, MA",Massachusetts,65,1/3/1886,White,Straight,NA,Actor,Harvey,1951,1,United States
Judy Holliday,Female,"New York City, United States","New York City, NY",New York,30,6/21/2021,White,Straight,NA,Actor,Born Yesterday,1951,1,United States
George Stevens,Male,"Oakland, California, United States","Oakland, CA",California,48,12/18/2004,White,Straight,NA,Director,A Place in the Sun,1952,2,United States
Humphrey Bogart,Male,"New York City, United States","New York City, NY",New York,53,12/25/1899,White,Straight,NA,Actor,The Africa Queen,1952,1,United States
Karl Malden,Male,"Chicago, Illinois, United States","Chicago, IL",Illinois,40,3/22/2012,White,Straight,NA,Actor,A Streetcar Named Desire,1952,1,United States
Kim Hunter,Female,"Detroit, Michigan, United States","Detroit, MI",Michigan,30,11/12/2022,White,Straight,NA,Actor,A Streetcar Named Desire,1952,1,United States
Vivien Leigh,Female,"Darjeeling, India",NA,NA,39,11/5/2013,White,Straight,Roman Catholic,Actor,A Streetcar Named Desire,1952,2,India
Anthony Quinn,Male,"Chihuahua, Mexico",NA,NA,38,4/21/2015,Hispanic,Straight,NA,Actor,Viva Zapota!,1953,2,Mexico
Gary Cooper,Male,"Helena, Montana, United States","Helena, MT",Montana,41,5/7/1901,White,Straight,Roman Catholic,Actor,High Noon,1953,2,United States
Gloria Grahame,Female,"Los Angeles, California, United States","Los Angeles, CA",California,30,11/28/2023,White,Straight,NA,Actor,The Bad and the Beautiful,1953,1,United States
John Ford,Male,"Cape Elizabeth, Maine, United States","Cape Elizabeth, ME",Maine,59,2/1/1894,White,Bisexual,Roman Catholic,Director,The Quiet Man,1953,4,United States
Shirley Booth,Female,"New York City, United States","New York City, NY",New York,55,8/30/1898,White,Straight,NA,Actor,"Come Back, Little Sheba",1953,1,United States
Audrey Hepburn,Female,"Brussels, Belgium",NA,NA,25,5/4/2029,White,Straight,Christian Science,Actor,Roman Holiday,1954,1,Belgium
Donna Reed,Female,"Denison, Iowa, United States","Denison, IA",Iowa,33,1/27/2021,White,Straight,NA,Actor,From Here to Eternity,1954,1,United States
Frank Sinatra,Male,"Hoboken, New Jersey, United States","Hoboken, NJ",New Jersey,39,12/12/2015,White,Straight,NA,Actor,From Here to Eternity,1954,1,United States
Fred Zinnemann,Male,"Vienna, Austria",NA,NA,47,4/29/2007,White,Straight,Jewish,Director,From Here to Eternity,1954,2,Austria
William Holden,Male,"O'fallon, Illinois, United States","O'fallon, IL",Illinois,36,4/17/2018,White,Straight,NA,Actor,Stalag 17,1954,1,United States
Edmond O'Brien,Male,"New York City, United States","New York City, NY",New York,40,9/10/2015,White,Straight,Roman Catholic,Actor,The Barefoot Contessa,1955,1,United States
Elia Kazan,Male,"Istanbul, Turkey",NA,NA,46,9/7/2009,White,Straight,NA,Director,On the Waterfront,1955,2,Turkey
Eva Marie Saint,Female,"Newark, New Jersey, United States","Newark, NJ",New Jersey,31,7/4/2024,White,Straight,NA,Actor,On the Waterfront,1955,1,United States
Grace Kelly,Female,"Philadelphia, Pennsylvania, United States","Philadelphia, PA",Pennsylvania,26,11/12/2029,White,Straight,Roman Catholic,Actor,The Country Girl,1955,1,United States
Marlon Brando,Male,"Omaha, Nebraska, United States","Omaha, NE",Nebraska,31,4/3/2024,White,Bisexual,Deist,Actor,On the Waterfront,1955,2,United States
Anna Magnani,Female,"Rome, Italy",NA,NA,48,3/7/2008,White,Straight,NA,Actor,The Rose Tattoo,1956,1,Italy
Delbert Mann,Male,"Lawrence, Kansas, United States","Lawrence, KS",Kansas,36,1/30/2020,White,Straight,Presbyterian,Director,Marty,1956,1,United States
Ernest Borgnine,Male,"Hamden, Connecticut, United States","Hamden, CT",Connecticut,39,1/24/2017,White,Straight,NA,Actor,Marty,1956,1,United States
Jack Lemmon,Male,"Newton, Massachusetts, United States","Newton, MA",Massachusetts,49,2/8/2025,White,Straight,Roman Catholic,Actor,Mister Roberts,1956,2,United States
Jo Van Fleet,Female,"Oakland, California, United States","Oakland, CA",California,42,12/30/2014,White,Straight,NA,Actor,East of Eden,1956,1,United States
Anthony Quinn,Male,"Chihuahua, Mexico",NA,NA,42,4/21/2015,Hispanic,Straight,NA,Actor,Lust for Life,1957,2,Mexico
Dorothy Malone,Female,"Chicago, Illinois, United States","Chicago, IL",Illinois,32,1/30/2025,White,Straight,NA,Actor,Written on the Wind,1957,1,United States
George Stevens,Male,"Oakland, California, United States","Oakland, CA",California,53,12/18/2004,White,Straight,NA,Director,Giant,1957,2,United States
Ingrid Bergman,Female,"Stockholm, Sweden",NA,NA,42,8/29/2015,White,Straight,NA,Actor,Anastasia,1957,3,Sweden
Yul Brynner,Male,"Vladivostok, Russia",NA,NA,37,7/11/2020,White,Straight,NA,Actor,The King And I,1957,1,Russia
Alec Guinness,Male,"London, United Kingdom",NA,NA,44,4/2/2014,White,Bisexual,Roman Catholic,Actor,The Bridge on the River Kwai,1958,1,United Kingdom
David Lean,Male,"Croydon, United Kingdom",NA,NA,50,3/25/2008,White,Straight,NA,Director,The Bridge on the River Kwai,1958,2,United Kingdom
Joanne Woodward,Female,"Thomasville, Georgia, United States","Thomasville, GA",Georgia,28,2/27/1930,White,Straight,NA,Actor,The Three Faces of Eve,1958,1,United States
Miyoshi Umeki,Female,"Otaro, Japan",NA,NA,29,4/3/2029,Asian,Straight,NA,Actor,Sayonara,1958,1,Japan
Red Buttons,Male,"New York City, United States","New York City, NY",New York,39,2/5/2019,White,Straight,Jewish,Actor,Sayonara,1958,1,United States
Burl Ives,Male,"Hunt City, Illinois, United States","Hunt City, IL",Illinois,50,6/14/2009,White,Straight,NA,Actor,The Big Country,1959,1,United States
David Niven,Male,"London, United Kingdom",NA,NA,50,3/1/2009,White,Straight,NA,Actor,Separate Tables,1959,1,United Kingdom
Susan Hayward,Female,"Brooklyn, United States","New York City, NY",New York,41,6/30/2018,White,Straight,Roman Catholic,Actor,I Want To Live!,1959,1,United States
Vincente Minnelli,Male,"Chicago, Illinois, United States","Chicago, IL",Illinois,56,2/28/1903,White,Bisexual,NA,Director,Gigi,1959,1,United States
Wendy Hiller,Female,"Bramhall, United Kingdom",NA,NA,47,8/15/2012,White,Straight,NA,Actor,Separate Tables,1959,1,United Kingdom
Charlton Heston,Male,"Evanston, Illinois, United States","Evanston, IL",Illinois,37,10/4/2023,White,Straight,Protestant,Actor,Ben-hur,1960,1,United States
Hugh Griffith,Male,"Marian Glas, United Kingdom",NA,NA,48,5/30/2012,White,NA,NA,Actor,Ben-hur,1960,1,United Kingdom
Shelley Winters,Female,"St. Louis, Missouri, United States","St. Louis, MO",Missouri,40,8/18/2020,White,Straight,Jewish,Actor,The Diary of Anne Frank,1960,2,United States
Simone Signoret,Female,"Wiesbaden, Germany",NA,NA,39,3/25/2021,White,Straight,NA,Actor,Room at the Top,1960,1,Germany
William Wyler,Male,"Mulhouse, France",NA,NA,58,7/1/1902,White,Straight,NA,Director,Ben-hur,1960,3,France
Billy Wilder,Male,"Sucha, Austria",NA,NA,40,6/22/2006,White,Straight,Jewish,Director,The Apartment,1961,2,Austria
Burt Lancaster,Male,"New York City, United States","New York City, NY",New York,48,11/2/2013,White,Straight,Protestant,Actor,Elmer Gantry,1961,1,United States
Elizabeth Taylor,Female,"London, United Kingdom",NA,NA,29,2/27/1932,White,Straight,Jewish,Actor,Butterfield 8,1961,2,United Kingdom
Peter Ustinov,Male,"London, United Kingdom",NA,NA,40,4/16/2021,White,Straight,NA,Actor,Spartacus,1961,2,United Kingdom
Shirley Jones,Female,"Charleroi, Pennsylvania, United States","Charleroi, PA",Pennsylvania,27,3/31/1934,White,Straight,Methodist,Actor,Elmer Gantry,1961,1,United States
George Chakiris,Male,"Norwood, Ohio, United States","Norwood, OH",Ohio,28,9/16/1934,White,Gay,NA,Actor,West Side Story,1962,1,United States
Jerome Robbins,Male,"New York City, United States","New York City, NY",New York,44,10/11/2018,White,Gay,Jewish,Director,West Side Story,1962,1,United States
Maximilian Schell,Male,"Vienna, Austria",NA,NA,32,12/8/1930,White,Straight,NA,Actor,Judgement at Nuremberg,1962,1,Austria
Rita Moreno,Female,"Humacao, Puerto Rico",NA,NA,31,12/11/1931,Hispanic,Straight,NA,Actor,West Side Story,1962,1,Puerto Rico
Robert Wise,Male,"Winchester, Indiana, United States","Winchester, IN",Indiana,48,9/10/2014,White,Straight,NA,Director,West Side Story,1962,2,United States
Sophia Loren,Female,"Pozzuoli, Italy",NA,NA,28,9/20/1934,White,Straight,Roman Catholic,Actor,Two Women,1962,1,Italy
Anne Bancroft,Female,"Bronx, United States","New York City, NY",New York,32,9/17/1931,White,Straight,Roman Catholic,Actor,The Miracle Worker,1963,1,United States
David Lean,Male,"Croydon, United Kingdom",NA,NA,55,3/25/2008,White,Straight,NA,Director,Lawrence of Arabia,1963,2,United Kingdom
"Ed Begley, Sr.",Male,"Hartford, Connecticut, United States","Hartford, CT",Connecticut,62,3/25/1901,White,Straight,NA,Actor,Sweet Bird of Youth,1963,1,United States
Gregory Peck,Male,"La Jolla, California, United States","La Jolla, CA",California,47,4/5/2016,White,Straight,Roman Catholic,Actor,To Kill a Mockingbird,1963,1,United States
Patty Duke,Female,"Elmhurst, New York, United States","Elmhurst, NY",New York,17,12/14/1946,White,Straight,Roman Catholic,Actor,The Miracle Worker,1963,1,United States
Margaret Rutherford,Female,"London, United Kingdom",NA,NA,72,5/11/1892,White,Straight,NA,Actor,the V.I.P.s,1964,1,United Kingdom
Melvyn Douglas,Male,"Macon, Georgia, United States","Macon, GA",Georgia,63,4/5/1901,White,Straight,Jewish,Actor,Hud,1964,2,United States
Patricia Neal,Female,"Packard, Kentucky, United States","Packard, KY",Kentucky,38,1/20/2026,White,Straight,Roman Catholic,Actor,Hud,1964,1,United States
Sidney Poitier,Male,"Miami, Florida, United States","Miami, FL",Florida,37,2/20/2027,Black,Straight,Deist,Actor,Lilies of the Field,1964,1,United States
Tony Richardson,Male,"Shipley, United Kingdom",NA,NA,36,6/5/2028,White,Bisexual,NA,Director,Tom Jones,1964,1,United Kingdom
George Cukor,Male,"New York City, United States","New York City, NY",New York,66,7/7/1899,White,Gay,NA,Director,My Fair Lady,1965,1,United States
Julie Andrews,Female,"Walton-on-Thames, United Kingdom",NA,NA,30,10/1/1935,White,Straight,NA,Actor,Mary Poppins,1965,1,United Kingdom
Lila Kedrova,Female,"St. Petersburg, Russia",NA,NA,47,10/9/2018,White,Straight,NA,Actor,Zorba the Greek,1965,1,Russia
Peter Ustinov,Male,"London, United Kingdom",NA,NA,44,4/16/2021,White,Straight,NA,Actor,Topkapi,1965,2,United Kingdom
Rex Harrison,Male,"Huyton, United Kingdom",NA,NA,57,3/5/2008,White,Straight,NA,Actor,My Fair Lady,1965,1,United Kingdom
Julie Christie,Female,"Chabua, Assama, India",NA,NA,25,4/14/1941,White,Straight,NA,Actor,Darling,1966,1,India
Lee Marvin,Male,"New York City, United States","New York City, NY",New York,42,2/19/2024,White,Straight,NA,Actor,Cat Ballou,1966,1,United States
Martin Balsam,Male,"Bronx, United States","New York City, NY",New York,47,11/4/2019,White,Straight,NA,Actor,A Thousand Clowns,1966,1,United States
Robert Wise,Male,"Winchester, Indiana, United States","Winchester, IN",Indiana,52,9/10/2014,White,Straight,NA,Director,The Sound of Music,1966,2,United States
Shelley Winters,Female,"St. Louis, Missouri, United States","St. Louis, MO",Missouri,46,8/18/2020,White,Straight,Jewish,Actor,A Patch of Blue,1966,2,United States
Elizabeth Taylor,Female,"London, United Kingdom",NA,NA,35,2/27/1932,White,Straight,Jewish,Actor,Who's Afraid of Virginia Woolf?,1967,2,United Kingdom
Fred Zinnemann,Male,"Vienna, Austria",NA,NA,60,4/29/2007,White,Straight,Jewish,Director,A Man For All Seasons,1967,2,Austria
Paul Scofield,Male,"Hurstpierpoint, United Kingdom",NA,NA,45,1/21/2022,White,Straight,NA,Actor,A Man For All Seasons,1967,1,United Kingdom
Sandy Dennis,Female,"Hastings, Nebraska, United States","Hastings, NE",Nebraska,30,4/27/1937,White,Bisexual,NA,Actor,Who's Afraid of Virginia Woolf?,1967,1,United States
Walter Matthau,Male,"New York City, United States","New York City, NY",New York,47,10/1/2020,White,Straight,Jewish,Actor,The Fortune Cookie,1967,1,United States
Estelle Parsons,Female,"Marblehead, Massachusetts, United States","Marblehead, MA",Massachusetts,41,11/20/2027,White,Straight,NA,Actor,Bonnie and Clyde,1968,1,United States
George Kennedy,Male,"New York City, United States","New York City, NY",New York,43,2/18/2025,White,Straight,NA,Actor,Cool Hand Luke,1968,1,United States
